# compound id (and file prefix), SMILES, iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem), experimental value (kcal/mol), experimental uncertainty (kcal/mol), Mobley group calculated value (GAFF) (kcal/mol), calculated uncertainty (kcal/mol), experimental reference (original or paper this value was taken from), calculated reference, text notes.,dG (TF),std (TF),dG (TF) lrc,lrc,lrc std,lrc diff,nr intst,nr waters,box length,diff,diff GAFF,functional group
mobley_1178614, c1ccc(c(c1)O)Cl, 2-chlorophenol,-4.55,0.6,-3.32,0.04, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.08,0.08,-3.5,-0.42,0.02,1.05,14,665,28,1.47,1.23,phenol or hydroxyhetarene
mobley_1189457, CSc1ccccc1, methylsulfanylbenzene,-2.73,0.6,-1.32,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.56,0.05,-2.06,-0.5,0.01,0.67,14,667,28,1.17,1.41,thioether
mobley_1199854, CCCI, 1-iodopropane,-0.53,0.6,-0.44,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.45,0.03,-0.83,-0.38,0.01,0.3,10,667,28,0.08,0.09,alkyl iodide
mobley_1231151, CC(C)Cl, 2-chloropropane,-0.25,0.6,0.83,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",1.55,0.04,1.31,-0.24,0.01,1.56,10,668,28,1.8,1.08,alkyl chloride
mobley_1235151, CCCCC[N+](=O)[O-], 1-nitropentane,-2.82,0.6,-1.32,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-5.26,0.07,-5.71,-0.45,0.01,2.89,14,666,28,2.44,1.5,nitro
mobley_1244778, C1CCCC(CC1)O, cycloheptanol,-5.48,0.6,-4.34,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.52,0.06,-3.94,-0.42,0.01,1.54,14,667,28,1.96,1.14,secondary alcohol
mobley_1261349, CC(C)(C)C, neopentane,2.51,0.6,2.51,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",2.63,0.02,2.35,-0.28,0.01,0.16,11,668,28,0.12,0,alkane
mobley_1278715, C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl, hexachloroethane,-0.64,0.1,0.89,0.03, 10.1007/s10822-010-9350-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.07,0.08,-1.64,-0.57,0.03,1,14,657,28,0.43,1.53,halogen derivative
mobley_129464, CCCCOCCCC, 1-butoxybutane,-0.83,0.6,0.14,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.24,0.05,-0.24,-0.48,0.02,0.59,15,664,28,1.07,0.97,dialkyl ether
mobley_1323538, CCOP(=O)(OCC)OCC, triethylphosphate,-7.5,0.2,-10.25,0.04, 10.1039/P29900000291, 10.1021/acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  ,-4.39,0.16,-5.09,-0.7,0.01,2.41,17,749,29,3.11,2.75,phosphoric acid ester
mobley_1328465, C(C(Cl)Cl)Cl," 1,1,2-trichloroethane",-1.99,0.6,-0.38,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.02,0.14,-0.33,-0.35,0.02,1.66,11,663,28,2.01,1.61,alkyl chloride
mobley_1328936, COC(=O)c1ccc(cc1)[N+](=O)[O-], methyl 4-nitrobenzoate,-6.88,0.6,-6.59,0.03, 10.1139/v92-210, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-6.29,0.07,-6.92,-0.63,0.01,0.04,19,840,30,0.59,0.29,carboxylic acid ester
mobley_1352110, CCCCN(CC)C(=O)SCCC, pebulate,-3.64,1.93,-4.57,0.04, 10.1021/jp806724u, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.74,0.58,-4.56,-0.82,0.02,0.92,19,659,28,0.1,0.93,thiocarbamic acid ester
mobley_1363784, Cc1cc(cnc1)C," 3,5-dimethylpyridine",-4.84,0.6,-2.87,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.92,0.04,-3.34,-0.42,0.01,1.5,14,668,28,1.92,1.97,aromatic
mobley_1396156, c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O, pentachloronitrobenzene,-5.22,0.25,-1.28,0.04, 10.1007/s10822-010-9350-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-5.4,0.08,-6.14,-0.74,0.01,0.92,20,832,30,0.18,3.94,aryl chloride
mobley_1417007, C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl, captan,-9.01,1.93,-8.72,0.04, 10.1021/jp806724u, 10.1021/acs.jced.7b00104," Renamed mobley_1417007 from captan to (3aR,7aR)-2-(trichloromethylsulfanyl)-3a,4,7,7a-tetrahydroisoindole-1,3-dione (the name from the 3D structure) since the former did not completely specify stereochemistry.  ",-10.04,0.16,-10.99,-0.95,0,1.98,22,995,32,1.03,0.29,halogen derivative
mobley_1424265, Cc1cccc(c1)C, m-xylene,-0.83,0.6,-0.7,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.43,0.05,0,-0.43,0.01,0.83,14,666,28,1.26,0.13,aromatic
mobley_1449384, Cc1ccc(cc1)C(C)C, 1-isopropyl-4-methyl-benzene,-0.68,0.6,-0.46,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.82,0.09,0.26,-0.56,0.02,0.94,16,751,29,1.5,0.22,aromatic
mobley_1469079, c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl," 2,3-dichlorodibenzo-p-dioxin",-3.56,1,-3.59,0.04, 10.1007/s10822-012-9568-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.04,0.04,-2.81,-0.77,0.02,0.75,22,905,31,1.52,0.03,diaryl ether
mobley_1502181, CCCCCCCC(=O)C, nonan-2-one,-2.49,0.6,-2.56,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.54,0.17,-3.06,-0.52,0.01,0.57,16,749,29,0.05,0.07,ketone
mobley_1520842, Cc1ccncc1, 4-methylpyridine,-4.93,0.6,-3.34,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.53,0.08,-4.89,-0.36,0.01,0.04,13,668,28,0.4,1.59,aromatic
mobley_1527293, C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O, flurbiprofen,-8.42,0.16,-13.95,0.05, 10.1007/s10822-010-9350-8, 10.1021/acs.jced.7b00104, Renamed mobley_1527293 from flurbiprofen to (2S)-2-(3-fluoro-4-phenyl-phenyl)propanoic acid (the name from the 3D structure) since the former did not completely specify stereochemistry.  ,-5.4,0.13,-6.26,-0.86,0.02,2.16,24,996,32,3.02,5.53,aryl fluoride
mobley_1563176, CCCCS, butane-1-thiol,-0.99,0.6,-0.17,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.39,0.08,0.03,-0.36,0.01,1.02,11,666,28,1.38,0.82,thiol (sulfanyl)
mobley_1571523, Cc1cccc(c1C)O," 2,3-dimethylphenol",-6.16,0.6,-5.15,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.86,0.1,-4.33,-0.47,0.01,1.83,15,667,28,2.3,1.01,phenol or hydroxyhetarene
mobley_1592519, CCCCCC(=O)OCC, ethyl hexanoate,-2.23,0.6,-2.93,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.3,0.07,-2.8,-0.5,0.02,0.57,16,751,29,0.07,0.7,carboxylic acid ester
mobley_1615431, CC(C)OC(C)C, 2-isopropoxypropane,-0.53,0.6,-0.18,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.28,0.15,-0.64,-0.36,0.02,0.11,13,667,28,0.25,0.35,dialkyl ether
mobley_1636752, CO, methanol,-5.1,0.6,-3.49,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.63,0.06,-4.72,-0.09,0.01,0.38,8,671,28,0.47,1.61,primary alcohol
mobley_1650157, CC(C)(C)O, 2-methylpropan-2-ol,-4.47,0.6,-3.29,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.96,0.07,-4.25,-0.29,0.02,0.22,11,669,28,0.51,1.18,tertiary alcohol
mobley_1659169, C1COCCN1, morpholine,-7.17,0.6,-6.12,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-6.19,0.12,-6.47,-0.28,0,0.7,12,669,28,0.98,1.05,dialkyl ether
mobley_1662128, CCC=C, but-1-ene,1.38,0.6,2.37,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",1.67,0.07,1.45,-0.22,0.02,0.07,10,668,28,0.29,0.99,alkene
mobley_1674094, CCCCC#C, hex-1-yne,0.29,0.6,0.55,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.09,0.08,-0.43,-0.34,0.02,0.72,12,666,28,0.38,0.26,alkyne
mobley_1708457, CS(=O)(=O)C, methylsulfonylmethane,-10.08,0.6,-10.56,0.03," J. Peter Guthrie, unpublished data, as provided to D. Mobley 2007/2008, and as cited in 10.1021/jp0764384", 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-13.06,0.11,-13.38,-0.32,0.02,3.3,11,668,28,2.98,0.48,sulfone
mobley_1717215, COC=O, methyl formate,-2.78,0.6,-4.03,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.27,0.01,-3.41,-0.14,0.01,0.63,10,670,28,0.49,1.25,carboxylic acid ester
mobley_1722522, CCCC(=O)OCC, ethyl butanoate,-2.49,0.6,-3.38,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.38,0.08,-2.77,-0.39,0.01,0.28,14,666,28,0.11,0.89,carboxylic acid ester
mobley_1723043, C1(C(C(C1(F)F)(F)F)(F)F)(F)F, octafluorocyclobutane,3.43,0.03,3.08,0.03, 10.1007/s10822-010-9350-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.04,0.13,-0.37,-0.41,0.01,3.8,18,664,28,3.39,0.35,alkyl fluoride
mobley_1728386, c1ccc(cc1)C(=O)N, benzamide,-11,0.2,-10.41,0.03, 10.1039/P29900000291, 10.1021/acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  ,-6.09,0.02,-6.57,-0.48,0.01,4.43,15,666,28,4.91,0.59,primary carboxylic acid amide
mobley_172879, c1ccc2c(c1)Oc3ccccc3O2, dibenzo-p-dioxin,-3.15,0.1,-4.9,0.02, 10.1007/s10822-012-9568-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.64,0.11,-2.29,-0.65,0.03,0.86,20,841,30,1.51,1.75,diaryl ether
mobley_1733799, c1cc(ccc1O)Br, 4-bromophenol,-5.85,0.83,-5.83,0.03, 10.1039/J29710000533 and 10.1007/BF00646936, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Experimental value updated 10/22/13 from J. Peter Guthrie (University of Western Ontario) taken as a weighted average of the values -7.13 from a Cabani review, and -5.24 from experimental data from Parsons, Rochester, and Wood (see reference). The weighting gives preference to the latter since it gives source data.  ",-5.6,0.08,-6.06,-0.46,0.01,0.21,14,754,29,0.25,0.02,phenol or hydroxyhetarene
mobley_1735893, CCCCCC(=O)O, hexanoic acid,-6.21,0.6,-7.88,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.48,0.24,-4.87,-0.39,0.01,1.34,14,666,28,1.73,1.67,carboxylic acid
mobley_1743409, CCOC(=O)CCC(=O)OCC, diethyl butanedioate,-5.71,0.6,-8.68,0.05, 10.1139/v91-2, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-6.74,0.11,-7.27,-0.53,0.02,1.56,18,662,28,1.03,2.97,carboxylic acid ester
mobley_1755375, Cc1cccc(c1O)C," 2,6-dimethylphenol",-5.26,0.6,-4.31,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.17,0.09,-3.65,-0.48,0.01,1.61,15,667,28,2.09,0.95,phenol or hydroxyhetarene
mobley_1760914, Cc1ccccc1Cl, 1-chloro-2-methyl-benzene,-1.14,0.6,-0.47,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.04,0.05,-0.36,-0.4,0,0.78,14,664,28,1.18,0.67,aryl chloride
mobley_1781152, CC(C)(C)C(=O)OC," methyl 2,2-dimethylpropanoate",-2.4,0.6,-3.3,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.46,0.04,-2.85,-0.39,0.01,0.45,14,668,28,0.06,0.9,carboxylic acid ester
mobley_1792062, C(CBr)Br," 1,2-dibromoethane",-2.33,0.6,-1.27,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.01,0.11,-1.37,-0.36,0.01,0.96,10,665,28,1.32,1.06,alkyl bromide
mobley_1800170, CCS, ethanethiol,-1.14,0.6,-0.4,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.03,0.06,-0.22,-0.25,0.03,0.92,9,669,28,1.17,0.74,thiol (sulfanyl)
mobley_1803862, CCC(C)C, isopentane,2.38,0.6,2.59,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",2.87,0.11,2.61,-0.26,0.01,0.23,11,669,28,0.49,0.21,alkane
mobley_1821184, Cc1c[nH]c2c1cccc2, 3-methyl-1H-indole,-5.88,0.6,-8.16,0.03, 10.1021/bi00507a030, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-5.75,0.04,-6.28,-0.53,0,0.4,16,667,28,0.13,2.28,aromatic
mobley_1827204, CCCCCC=O, hexanal,-2.81,0.6,-2.86,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.37,0.04,-1.71,-0.34,0.02,1.1,13,666,28,1.44,0.05,aldehyde
mobley_1838110, C(C(F)(Cl)Cl)(F)(F)Cl," 1,1,2-trichloro-1,2,2-trifluoro-ethane",1.77,0.6,1.69,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",1.09,0.08,0.71,-0.38,0.01,1.06,14,662,28,0.68,0.08,halogen derivative
mobley_1855337, c1c(cc(c(c1Cl)Cl)Cl)Cl," 1,2,3,5-tetrachlorobenzene",-1.62,0.6,0.14,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.84,0.08,-1.39,-0.55,0.02,0.23,16,839,30,0.78,1.76,aryl chloride
mobley_1857976, C(CCl)Cl," 1,2-dichloroethane",-1.79,0.6,-0.36,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.6,0.06,0.32,-0.28,0.01,2.11,10,666,28,2.39,1.43,alkyl chloride
mobley_1858644, c1ccc(cc1)CCO, 2-phenylethanol,-6.79,0.6,-5.28,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-5.56,0.07,-6.02,-0.46,0.03,0.77,15,665,28,1.23,1.51,primary alcohol
mobley_186894, CCCS, propanethiol,-1.1,0.2,-0.18,0.02, 10.1039/P29900000291, 10.1021/acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  ,0.29,0.03,0,-0.29,0.01,1.1,10,668,28,1.39,0.92,thiol (sulfanyl)
mobley_1873346, Cc1ccccc1, toluene,-0.9,0.2,-0.79,0.03, 10.1039/P29900000291, 10.1021/acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  ,0.04,0.06,-0.32,-0.36,0.01,0.58,13,668,28,0.94,0.11,aromatic
mobley_1875719, CCC(=O)CC, pentan-3-one,-3.41,0.2,-3.05,0.03, 10.1039/P29900000291, 10.1021/acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  ,-3.1,0.05,-3.4,-0.3,0,0.01,12,668,28,0.31,0.36,ketone
mobley_1881249, CCCC(=O)C, pentan-2-one,-3.52,0.6,-3.17,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.31,0.04,-3.62,-0.31,0.01,0.1,12,667,28,0.21,0.35,ketone
mobley_1893815, C(C(Cl)(Cl)Cl)Cl," 1,1,1,2-tetrachloroethane",-1.43,0.1,-0.09,0.03, 10.1007/s10822-012-9568-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.3,0.07,-0.71,-0.41,0.02,0.72,12,664,28,1.13,1.34,alkyl chloride
mobley_1893937, CCCCCCCl, 1-chlorohexane,0,0.6,1.26,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",1.69,0.12,1.29,-0.4,0.01,1.29,13,751,29,1.69,1.26,alkyl chloride
mobley_1896013, C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O," (2S,3R,4S,5R)-oxane-2,3,4,5-tetrol",-20.52,0.27,-14.15,0.08, 10.1007/s10822-010-9350-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from d-xylose to (2S,3R,4S,5R)-oxane-2,3,4,5-tetrol for better handling/standardization.  ",-14.52,0.19,-15.01,-0.49,0.01,5.51,16,663,28,6,6.37,hemiacetal
mobley_1899443, CCCC(=C)C, 2-methylpent-1-ene,1.47,0.6,2.49,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",1.89,0.12,1.55,-0.34,0.01,0.08,12,667,28,0.42,1.02,alkene
mobley_1903702, CC[C@H](C)O, butan-2-ol,-4.62,0.6,-3.15,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104, Renamed mobley_1903702 from butan-2-ol to (2S)-butan-2-ol (the name from the 3D structure) since the former did not completely specify stereochemistry.  ,-3.43,0.08,-3.69,-0.26,0.01,0.93,11,668,28,1.19,1.47,secondary alcohol
mobley_1905088, c1ccc(cc1)CBr, benzyl bromide,-2.38,0.2,-1.85,0.03, 10.1021/jm070549+, 10.1021/acs.jced.7b00104," Topology and coordinate files re-generated 10/9/13 from original .mol2 files.  Experimental uncertainty not presently available, so assigned a default value.  Experimental uncertainty estimate updated to 0.2 as of v0.2 to match uncertainty estimate given in Nicholls et al. paper.  ",-3.37,0.05,-3.86,-0.49,0,1.48,14,667,28,0.99,0.53,alkyl bromide
mobley_1923244, CCCC, n-butane,2.1,0.2,2.59,0.02, 10.1039/P29900000291, 10.1021/acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  ,2.57,0.05,2.34,-0.23,0.02,0.24,10,669,28,0.47,0.49,alkane
mobley_1929982, S, hydrogen sulfide,-0.7,0.6,-1.14,0.01, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.54,0.11,-0.66,-0.12,0.01,0.04,7,674,28,0.16,0.44,alkane
mobley_194273, CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br, bromacil,-9.73,1.93,-14.5,0.04, 10.1021/jp806724u, 10.1021/acs.jced.7b00104," Renamed mobley_194273 from bromacil to 5-bromo-6-methyl-3-[(1S)-1-methylpropyl]-1H-pyrimidine-2,4-dione (the name from the 3D structure) since the former did not completely specify stereochemistry.  ",-10.34,0.21,-11.15,-0.81,0.03,1.42,20,742,29,0.61,4.77,aryl bromide
mobley_1944394, CN(C)CCOC(c1ccccc1)c2ccccc2, [2-benzhydryloxyethyl]-dimethyl-amine,-9.34,0.62,-7.87,0.06, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.72,0.4,-4.69,-0.97,0.01,4.65,25,835,30,5.62,1.47,dialkyl ether
mobley_1952272, C[N+](=O)[O-], nitromethane,-4.02,0.6,-2.08,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-7.36,0.12,-7.57,-0.21,0.02,3.55,10,670,28,3.34,1.94,nitro
mobley_1963873, CC(=O)NC, N-methylacetamide,-10,0.6,-8.28,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-6.16,0.08,-6.45,-0.29,0.01,3.55,11,669,28,3.84,1.72,secondary carboxylic acid amide
mobley_1967551, CC=O, acetaldehyde,-3.5,0.6,-3.37,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.73,0.04,-2.84,-0.11,0.01,0.66,9,671,28,0.77,0.13,aldehyde
mobley_197466, CC(=O)C1CC1, 1-cyclopropylethanone,-4.61,0.6,-3.04,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-5.21,0.05,-5.5,-0.29,0.03,0.89,12,668,28,0.6,1.57,ketone
mobley_1976156, CCCCCCCCC=O, nonanal,-2.07,0.6,-2.34,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.65,0.05,-1.13,-0.48,0.01,0.94,16,843,30,1.42,0.27,aldehyde
mobley_1977493, CCCCl, 1-chloropropane,-0.33,0.6,0.97,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",1.04,0.02,0.77,-0.27,0.01,1.1,10,666,28,1.37,1.3,alkyl chloride
